time	V(n002)
Step Information: F=10  (Run: 1/7)
0.000000000000000e+000	0.000000e+000
4.516608113596365e-006	1.308437e-006
7.025091960942111e-006	3.154149e-006
8.763237153911420e-006	4.892517e-006
1.094525526201741e-005	7.595971e-006
1.367615148677938e-005	1.177373e-005
1.711996628855070e-005	1.824527e-005
2.147370652972695e-005	2.821085e-005
2.704289724980865e-005	4.352138e-005
3.427026155436714e-005	6.679387e-005
4.395686341636272e-005	1.015383e-004
5.785800376997401e-005	1.521374e-004
7.241006818843967e-005	1.974896e-004
8.946668308781377e-005	2.301177e-004
1.075506215725867e-004	2.317256e-004
1.313175973928653e-004	1.902145e-004
1.493525523379648e-004	1.363665e-004
1.612837878543462e-004	9.520588e-005
1.716112286717613e-004	6.224065e-005
1.816010003664915e-004	3.673061e-005
1.909293193676015e-004	2.078007e-005
1.998805907022149e-004	1.421020e-005
2.094072791262200e-004	1.778986e-005
2.225888227139033e-004	3.772034e-005
2.361141892313389e-004	7.176228e-005
2.511948857694519e-004	1.194146e-004
2.658448149516786e-004	1.657908e-004
2.821401114111637e-004	2.060708e-004
2.992225884180762e-004	2.248600e-004
3.197136104153295e-004	2.118761e-004
3.415663859448421e-004	1.658469e-004
3.545930706686225e-004	1.271648e-004
3.656081705920380e-004	9.249026e-005
3.766586992733742e-004	6.183256e-005
3.874579781858309e-004	3.932951e-005
3.979391617446807e-004	2.721109e-005
4.091446624876505e-004	2.628510e-005
4.212243936943852e-004	3.862086e-005
4.338756413509717e-004	6.423554e-005
4.479510788375136e-004	1.026995e-004
4.634966518584613e-004	1.484472e-004
4.792632928716393e-004	1.880680e-004
4.966947209905730e-004	2.131000e-004
5.158607830977476e-004	2.102840e-004
5.411881971062624e-004	1.696684e-004
5.538303495355781e-004	1.374739e-004
5.652859616176751e-004	1.043618e-004
5.770183321305804e-004	7.358629e-005
5.886857476439105e-004	5.012831e-005
6.003110834484420e-004	3.702641e-005
6.126048698326520e-004	3.626639e-005
6.264038660763290e-004	5.031159e-005
6.394368662226194e-004	7.577115e-005
6.537691191721770e-004	1.123991e-004
6.702430533478695e-004	1.557689e-004
6.864540697921330e-004	1.895707e-004
7.048790272416007e-004	2.071528e-004
7.250722364774241e-004	1.970373e-004
7.478514602753449e-004	1.571884e-004
7.614685561674157e-004	1.238350e-004
7.731996232768848e-004	9.383262e-005
7.852942965628133e-004	6.774296e-005
7.977617611873663e-004	4.994201e-005
8.111789422806570e-004	4.366715e-005
8.248277075019337e-004	5.183267e-005
8.399614678791725e-004	7.557048e-005
8.547925971300928e-004	1.086077e-004
8.709321191239944e-004	1.473990e-004
8.879204893861508e-004	1.810264e-004
9.060921519230905e-004	1.989430e-004
9.266951334192538e-004	1.906067e-004
9.554769583437809e-004	1.448261e-004
9.711710731145954e-004	1.103964e-004
9.831954904840820e-004	8.411989e-005
9.956244944564711e-004	6.381676e-005
1.010067418781299e-003	5.205858e-005
1.023946767174720e-003	5.530515e-005
1.043393361863442e-003	7.950271e-005
1.058953153737590e-003	1.097769e-004
1.074971002703371e-003	1.446138e-004
1.092952654516614e-003	1.767545e-004
1.111115347587447e-003	1.922549e-004
1.132659357735848e-003	1.834383e-004
1.158806030854556e-003	1.450021e-004
1.173961901473450e-003	1.144027e-004
1.186474641447103e-003	8.934868e-005
1.199686575456171e-003	6.961128e-005
1.229731383227455e-003	6.322275e-005
1.251368725848027e-003	9.016709e-005
1.268563347210854e-003	1.216632e-004
1.285578297349679e-003	1.540070e-004
1.304256233429807e-003	1.793903e-004
1.323532160295612e-003	1.860359e-004
1.347277691905155e-003	1.686934e-004
1.361949078637073e-003	1.460587e-004
1.375911837217751e-003	1.190324e-004
1.389799901191513e-003	9.363585e-005
1.404124464954449e-003	7.428849e-005
1.420078335244521e-003	6.480770e-005
1.435803505634271e-003	7.076577e-005
1.460235128028955e-003	1.012324e-004
1.479503662104647e-003	1.337893e-004
1.497745201405489e-003	1.624912e-004
1.517146542182892e-003	1.794188e-004
1.537999228705241e-003	1.754983e-004
1.566317574265477e-003	1.435716e-004
1.581744100776702e-003	1.183349e-004
1.594903850093700e-003	9.646462e-005
1.609331644464024e-003	7.886386e-005
1.625956322726012e-003	7.037854e-005
1.642833019192752e-003	7.658300e-005
1.664039103964482e-003	1.008816e-004
1.681697826126450e-003	1.284796e-004
1.699745044876240e-003	1.553582e-004
1.719486556889475e-003	1.731616e-004
1.740462543401199e-003	1.721976e-004
1.767675548597854e-003	1.470495e-004
1.781289125780618e-003	1.272197e-004
1.795417482180565e-003	1.050428e-004
1.810759081242568e-003	8.626314e-005
1.828407336393190e-003	7.572776e-005
1.845431457893833e-003	7.993781e-005
1.870312854671295e-003	1.050085e-004
1.889204115969356e-003	1.313926e-004
1.907704777064351e-003	1.554095e-004
1.928301528092056e-003	1.697763e-004
1.950011595228853e-003	1.652229e-004
1.980540522567433e-003	1.349572e-004
1.997669840846640e-003	1.118570e-004
2.012067861670580e-003	9.391631e-005
2.028390491554364e-003	8.177805e-005
2.046146157283213e-003	8.142225e-005
2.067997123175834e-003	9.663029e-005
2.083612559888053e-003	1.153475e-004
2.100322363671702e-003	1.375831e-004
2.122011145115139e-003	1.597021e-004
2.141977274086791e-003	1.660744e-004
2.167947737473347e-003	1.535330e-004
2.186607956876167e-003	1.335868e-004
2.201338885293093e-003	1.143274e-004
2.216732126246484e-003	9.719466e-005
2.236444078080198e-003	8.488529e-005
2.254193048360079e-003	8.648241e-005
2.279241461997744e-003	1.056216e-004
2.296389811212114e-003	1.252534e-004
2.314360646463916e-003	1.455574e-004
2.336409304961463e-003	1.605897e-004
2.358244830180062e-003	1.591715e-004
2.388334756298972e-003	1.365469e-004
2.404042674091263e-003	1.190848e-004
2.418911541340642e-003	1.027787e-004
2.436367873616195e-003	9.039634e-005
2.455748505574816e-003	8.847829e-005
2.478280330262436e-003	1.004750e-004
2.495354079439595e-003	1.172138e-004
2.512988617166208e-003	1.365303e-004
2.533921726276962e-003	1.535093e-004
2.555954705635599e-003	1.579813e-004
2.582600102762201e-003	1.457424e-004
2.599611541040431e-003	1.299856e-004
2.615756908326610e-003	1.126778e-004
2.633089213706916e-003	9.814293e-005
2.653745459309798e-003	9.089448e-005
2.674066331219700e-003	9.636095e-005
2.698075558645635e-003	1.151279e-004
2.717798843534375e-003	1.341825e-004
2.738587061267110e-003	1.499095e-004
2.761530418429678e-003	1.546805e-004
2.787724156074517e-003	1.441269e-004
2.805793752127884e-003	1.289473e-004
2.822276311446008e-003	1.129803e-004
2.840133777007345e-003	9.970521e-005
2.861485572970399e-003	9.381243e-005
2.882963607356848e-003	1.000505e-004
2.905056531218788e-003	1.164372e-004
2.924435914860888e-003	1.336057e-004
2.945852671733960e-003	1.478678e-004
2.969351879773052e-003	1.512827e-004
2.996881004248110e-003	1.398786e-004
3.014713078568284e-003	1.258047e-004
3.031719296441984e-003	1.111386e-004
3.050699524238324e-003	9.967155e-005
3.072540448620953e-003	9.684370e-005
3.096399283145375e-003	1.059635e-004
3.115682643490451e-003	1.202218e-004
3.134936458006647e-003	1.355213e-004
3.157871254760213e-003	1.472956e-004
3.182073479739414e-003	1.470342e-004
3.213267232217834e-003	1.312911e-004
3.229720496068034e-003	1.188442e-004
3.247353411684804e-003	1.065014e-004
3.268901202719074e-003	9.889568e-005
3.291503174568861e-003	1.023468e-004
3.324191856442046e-003	1.209470e-004
3.348011141135009e-003	1.366643e-004
3.371451339435378e-003	1.457921e-004
3.397028754875406e-003	1.427192e-004
3.430696726015191e-003	1.245672e-004
3.451233157872641e-003	1.109971e-004
3.470511931149557e-003	1.023016e-004
3.494440910934704e-003	1.018835e-004
3.520665464605612e-003	1.125019e-004
3.540156979292265e-003	1.251377e-004
3.560866881110540e-003	1.372824e-004
3.587442668761663e-003	1.437373e-004
3.613729088767676e-003	1.381720e-004
