Freq.	V(salida)
Step Information: C=100n  (Run: 1/5)
3.16227766016837e+000	-4.66792311725385e-006,2.23856239425771e-007
3.23593656929628e+000	-4.88738926950622e-006,2.39840565194115e-007
3.31131121482591e+000	-5.11714789430841e-006,2.56964947226047e-007
3.38844156139202e+000	-5.35767919317938e-006,2.75310540544241e-007
3.46736850452531e+000	-5.60948553196759e-006,2.94964258024753e-007
3.54813389233575e+000	-5.87309244078755e-006,3.16019176579061e-007
3.63078054770101e+000	-6.14904965683664e-006,3.38574971706718e-007
3.71535229097172e+000	-6.43793221171022e-006,3.62738382365574e-007
3.80189396320560e+000	-6.74034156487481e-006,3.88623708236263e-007
3.89045144994280e+000	-7.05690678499618e-006,4.16353341595163e-007
3.98107170553496e+000	-7.38828578085202e-006,4.46058336155780e-007
4.07380277804112e+000	-7.73516658359753e-006,4.77879015394270e-007
4.16869383470335e+000	-8.09826868217376e-006,5.11965623038250e-007
4.26579518801592e+000	-8.47834441368599e-006,5.48479018573829e-007
4.36515832240165e+000	-8.87618041059172e-006,5.87591420809392e-007
4.46683592150962e+000	-9.29259910656532e-006,6.29487202731693e-007
4.57088189614874e+000	-9.72846030291098e-006,6.74363741096079e-007
4.67735141287197e+000	-1.01846627974118e-005,7.22432324413246e-007
4.78630092322637e+000	-1.06621460774927e-005,7.73919123225455e-007
4.89778819368445e+000	-1.11618920795767e-005,8.29066226811387e-007
5.01187233627271e+000	-1.16849270164895e-005,8.88132750716315e-007
5.12861383991364e+000	-1.22323232747479e-005,9.51396019778071e-007
5.24807460249771e+000	-1.28052013835215e-005,1.01915283160525e-006
5.37031796370252e+000	-1.34047320570162e-005,1.09172080576811e-006
5.49540873857623e+000	-1.40321383119566e-005,1.16943982427970e-006
5.62341325190348e+000	-1.46886976617649e-005,1.25267356927874e-006
5.75439937337156e+000	-1.53757443889442e-005,1.34181116417782e-006
5.88843655355588e+000	-1.60946718970447e-005,1.43726892490546e-006
6.02559586074356e+000	-1.68469351434679e-005,1.53949222825745e-006
6.16595001861481e+000	-1.76340531541934e-005,1.64895750477292e-006
6.30957344480192e+000	-1.84576116213280e-005,1.76617436396983e-006
6.45654229034654e+000	-1.93192655841669e-005,1.89168786021185e-006
6.60693448007594e+000	-2.02207421942029e-005,2.02608090793060e-006
6.76082975391980e+000	-2.11638435642483e-005,2.16997685539928e-006
6.91830970918935e+000	-2.21504497015116e-005,2.32404222673967e-006
7.07945784384136e+000	-2.31825215241155e-005,2.48898964234708e-006
7.24435960074988e+000	-2.42621039601428e-005,2.66558092843620e-006
7.41310241300916e+000	-2.53913291278473e-005,2.85463042694113e-006
7.58577575029182e+000	-2.65724195951685e-005,3.05700851754788e-006
7.76247116628690e+000	-2.78076917161281e-005,3.27364536418953e-006
7.94328234724279e+000	-2.90995590410739e-005,3.50553489889863e-006
8.12830516164097e+000	-3.04505357970541e-005,3.75373905647811e-006
8.31763771102669e+000	-3.18632404338546e-005,4.01939227402407e-006
8.51138038202374e+000	-3.33403992303983e-005,4.30370626990024e-006
8.70963589956078e+000	-3.48848499553162e-005,4.60797511733436e-006
8.91250938133743e+000	-3.64995455744790e-005,4.93358062835226e-006
9.12010839355907e+000	-3.81875579972329e-005,5.28199806431514e-006
9.33254300796988e+000	-3.99520818518610e-005,5.65480218983103e-006
9.54992586021433e+000	-4.17964382795486e-005,6.05367368730947e-006
9.77237220955808e+000	-4.37240787347103e-005,6.48040594987110e-006
9.99999999999997e+000	-4.57385887780479e-005,6.93691227073155e-006
1.02329299228075e+001	-4.78436918470871e-005,7.42523344752683e-006
1.04712854805090e+001	-5.00432529871839e-005,7.94754582032455e-006
1.07151930523760e+001	-5.23412825241267e-005,8.50616976226480e-006
1.09647819614318e+001	-5.47419396574394e-005,9.10357864187616e-006
1.12201845430196e+001	-5.72495359513713e-005,9.74240827611178e-006
1.14815362149688e+001	-5.98685386982453e-005,1.04254668930078e-005
1.17489755493953e+001	-6.26035741264277e-005,1.11557456225904e-005
1.20226443461741e+001	-6.54594304226329e-005,1.19364295342188e-005
1.23026877081238e+001	-6.84410605355333e-005,1.27709092379041e-005
1.25892541179416e+001	-7.15535847248489e-005,1.36627930663171e-005
1.28824955169313e+001	-7.48022928170663e-005,1.46159198530990e-005
1.31825673855640e+001	-7.81926461258987e-005,1.56343723217698e-005
1.34896288259165e+001	-8.17302789923069e-005,1.67224910978658e-005
1.38038426460288e+001	-8.54209998956696e-005,1.78848893550152e-005
1.41253754462275e+001	-8.92707920842010e-005,1.91264681033201e-005
1.44543977074592e+001	-9.32858136693291e-005,2.04524321257564e-005
1.47910838816820e+001	-9.74723971251738e-005,2.18683065651662e-005
1.51356124843620e+001	-1.01837048130752e-004,2.33799541608608e-005
1.54881661891248e+001	-1.06386443689121e-004,2.49935931298427e-005
1.58489319246111e+001	-1.11127429454075e-004,2.67158156830242e-005
1.62181009735892e+001	-1.16067016191900e-004,2.85536071617854e-005
1.65958690743755e+001	-1.21212375302314e-004,3.05143657744364e-005
1.69824365246174e+001	-1.26570833320001e-004,3.26059229059252e-005
1.73780082874937e+001	-1.32149865315331e-004,3.48365639671115e-005
1.77827941003892e+001	-1.37957087110726e-004,3.72150497423873e-005
1.81970085860998e+001	-1.44000246227251e-004,3.97506381861359e-005
1.86208713666286e+001	-1.50287211474756e-004,4.24531066095648e-005
1.90546071796324e+001	-1.56825961098274e-004,4.53327741898309e-005
1.94984459975804e+001	-1.63624569393585e-004,4.84005247231250e-005
1.99526231496887e+001	-1.70691191705721e-004,5.16678295323686e-005
2.04173794466952e+001	-1.78034047726325e-004,5.51467704287078e-005
2.08929613085403e+001	-1.85661403008817e-004,5.88500626138676e-005
2.13796208950222e+001	-1.93581548624718e-004,6.27910773978444e-005
2.18776162394954e+001	-2.01802778890202e-004,6.69838645934310e-005
2.23872113856833e+001	-2.10333367099253e-004,7.14431744358255e-005
2.29086765276776e+001	-2.19181539208715e-004,7.61844788621421e-005
2.34422881531991e+001	-2.28355445431186e-004,8.12239919722172e-005
2.39883291901948e+001	-2.37863129704360e-004,8.65786894789071e-005
2.45470891568502e+001	-2.47712497019975e-004,9.22663269432373e-005
2.51188643150957e+001	-2.57911278612237e-004,9.83054565775584e-005
2.57039578276885e+001	-2.68466995024404e-004,1.04715442388616e-004
2.63026799189537e+001	-2.79386917093341e-004,1.11516473422368e-004
2.69153480392690e+001	-2.90678024914968e-004,1.18729574863746e-004
2.75422870333815e+001	-3.02346964879083e-004,1.26376616737946e-004
2.81838293126444e+001	-3.14400004889528e-004,1.34480319955334e-004
2.88403150312659e+001	-3.26842987915053e-004,1.43064259440047e-004
2.95120922666637e+001	-3.39681284047653e-004,1.52152864083606e-004
3.01995172040200e+001	-3.52919741277923e-004,1.61771413269236e-004
3.09029543251358e+001	-3.66562635230955e-004,1.71946029720700e-004
3.16227766016837e+001	-3.80613618141334e-004,1.82703668441867e-004
3.23593656929627e+001	-3.95075667381029e-004,1.94072101529838e-004
3.31131121482590e+001	-4.09951033889139e-004,2.06079898665858e-004
3.38844156139201e+001	-4.25241190887069e-004,2.18756403114741e-004
3.46736850452530e+001	-4.40946783295713e-004,2.32131703094873e-004
3.54813389233574e+001	-4.57067578302336e-004,2.46236598417658e-004
3.63078054770100e+001	-4.73602417553023e-004,2.61102562337084e-004
3.71535229097171e+001	-4.90549171471137e-004,2.76761698597126e-004
3.80189396320559e+001	-5.07904696222271e-004,2.93246693716402e-004
3.89045144994279e+001	-5.25664793860947e-004,3.10590764605841e-004
3.98107170553495e+001	-5.43824176202924e-004,3.28827601675170e-004
4.07380277804111e+001	-5.62376432968719e-004,3.47991307647726e-004
4.16869383470333e+001	-5.81314004737913e-004,3.68116332368723e-004
4.26579518801591e+001	-6.00628161239766e-004,3.89237403959959e-004
4.36515832240164e+001	-6.20308985482600e-004,4.11389456741691e-004
4.46683592150961e+001	-6.40345364192306e-004,4.34607556409601e-004
4.57088189614873e+001	-6.60724984988947e-004,4.58926823020169e-004
4.67735141287196e+001	-6.81434340679635e-004,4.84382352399513e-004
4.78630092322636e+001	-7.02458740985873e-004,5.11009136647670e-004
4.89778819368444e+001	-7.23782331955013e-004,5.38841984461289e-004
5.01187233627270e+001	-7.45388123228736e-004,5.67915442040743e-004
5.12861383991362e+001	-7.67258023257697e-004,5.98263715381987e-004
5.24807460249770e+001	-7.89372882461622e-004,6.29920594777627e-004
5.37031796370250e+001	-8.11712544239650e-004,6.62919382364376e-004
5.49540873857622e+001	-8.34255903638137e-004,6.97292823555158e-004
5.62341325190346e+001	-8.56980973384051e-004,7.33073043181885e-004
5.75439937337154e+001	-8.79864956893513e-004,7.70291487150179e-004
5.88843655355586e+001	-9.02884327768728e-004,8.08978870369034e-004
6.02559586074355e+001	-9.26014915204525e-004,8.49165131667384e-004
6.16595001861479e+001	-9.49231994639888e-004,8.90879396345853e-004
6.30957344480190e+001	-9.72510382912051e-004,9.34149946937178e-004
6.45654229034652e+001	-9.95824537102706e-004,9.79004202663008e-004
6.60693448007593e+001	-1.01914865620905e-003,1.02546870798071e-003
6.76082975391978e+001	-1.04245678472824e-003,1.07356913051166e-003
6.91830970918933e+001	-1.06572291721312e-003,1.12333026853564e-003
7.07945784384134e+001	-1.08892110284082e-003,1.17477606812535e-003
