time	V(n001)	V(n002)	I(D1)
2.547677232110550e-002	4.471285e+000	3.781812e+000	3.781812e-003
2.574183928539122e-002	4.179573e+000	3.492163e+000	3.492164e-003
2.600690624967694e-002	3.888744e+000	3.203519e+000	3.203519e-003
2.621616964253409e-002	3.669699e+000	2.986304e+000	2.986304e-003
2.642543303539123e-002	3.461951e+000	2.780407e+000	2.780407e-003
2.663469642824838e-002	3.265501e+000	2.585827e+000	2.585827e-003
2.684395982110552e-002	3.080350e+000	2.402566e+000	2.402566e-003
2.705322321396267e-002	2.906496e+000	2.230622e+000	2.230622e-003
2.726248660681982e-002	2.743940e+000	2.069997e+000	2.069997e-003
2.747174999967696e-002	2.592682e+000	1.920689e+000	1.920689e-003
2.756940624967696e-002	2.528483e+000	1.857358e+000	1.857357e-003
2.786237499967697e-002	2.356310e+000	1.687661e+000	1.687661e-003
2.815534374967697e-002	2.216353e+000	1.549905e+000	1.549905e-003
2.835065624967697e-002	2.141806e+000	1.476609e+000	1.476609e-003
2.854596874967698e-002	2.082747e+000	1.418586e+000	1.418586e-003
2.874128124967698e-002	2.039497e+000	1.376121e+000	1.376121e-003
2.893659374967698e-002	2.012290e+000	1.349420e+000	1.349421e-003
2.913190624967698e-002	2.001274e+000	1.338612e+000	1.338612e-003
2.932721874967699e-002	2.006508e+000	1.343747e+000	1.343747e-003
2.952253124967699e-002	2.027964e+000	1.364802e+000	1.364802e-003
2.971784374967699e-002	2.065526e+000	1.401675e+000	1.401675e-003
2.991315624967699e-002	2.118990e+000	1.454189e+000	1.454189e-003
3.010846874967700e-002	2.188067e+000	1.522087e+000	1.522087e-003
3.040143749967700e-002	2.320113e+000	1.652016e+000	1.652016e-003
3.069440624967701e-002	2.484817e+000	1.814298e+000	1.814298e-003
3.098737499967701e-002	2.680171e+000	2.007041e+000	2.007041e-003
3.128034374967701e-002	2.903795e+000	2.227964e+000	2.227964e-003
3.153145982110558e-002	3.121501e+000	2.443298e+000	2.443298e-003
3.178257589253416e-002	3.350598e+000	2.670101e+000	2.670101e-003
3.203369196396273e-002	3.591088e+000	2.908373e+000	2.908373e-003
3.228480803539131e-002	3.842969e+000	3.158114e+000	3.158113e-003
3.253592410681989e-002	4.106242e+000	3.419323e+000	3.419323e-003
3.278704017824846e-002	4.380907e+000	3.692001e+000	3.692001e-003
3.303815624967704e-002	4.666964e+000	3.976148e+000	3.976148e-003
3.333112499967704e-002	5.007250e+000	4.314384e+000	4.314384e-003
3.362409374967704e-002	5.337733e+000	4.642964e+000	4.642964e-003
3.391706249967705e-002	5.658413e+000	4.961889e+000	4.961889e-003
3.421003124967705e-002	5.969290e+000	5.271159e+000	5.271159e-003
3.450299999967706e-002	6.270363e+000	5.570774e+000	5.570774e-003
3.479596874967706e-002	6.561633e+000	5.860734e+000	5.860734e-003
3.508893749967706e-002	6.843101e+000	6.141038e+000	6.141038e-003
3.557721874967707e-002	7.260505e+000	6.556822e+000	6.556822e-003
3.606549999967708e-002	7.583651e+000	6.878712e+000	6.878712e-003
3.655378124967709e-002	7.812539e+000	7.106709e+000	7.106709e-003
3.704206249967709e-002	7.947167e+000	7.240812e+000	7.240812e-003
3.753034374967710e-002	7.987537e+000	7.281021e+000	7.281021e-003
3.801862499967711e-002	7.933648e+000	7.227336e+000	7.227336e-003
3.850690624967711e-002	7.785501e+000	7.079758e+000	7.079758e-003
3.884172767824855e-002	7.613145e+000	6.907991e+000	6.907991e-003
3.917654910681998e-002	7.408840e+000	6.704457e+000	6.704457e-003
3.951137053539142e-002	7.172588e+000	6.469156e+000	6.469156e-003
3.984619196396284e-002	6.904386e+000	6.202088e+000	6.202088e-003
4.018101339253428e-002	6.604236e+000	5.903253e+000	5.903253e-003
4.051583482110571e-002	6.272138e+000	5.572650e+000	5.572650e-003
4.085065624967715e-002	5.908091e+000	5.210281e+000	5.210281e-003
4.111572321396286e-002	5.611002e+000	4.914668e+000	4.914669e-003
4.138079017824858e-002	5.315160e+000	4.620423e+000	4.620423e-003
4.164585714253430e-002	5.020565e+000	4.327544e+000	4.327544e-003
4.191092410682002e-002	4.727216e+000	4.036031e+000	4.036032e-003
4.217599107110574e-002	4.435113e+000	3.745886e+000	3.745886e-003
4.244105803539146e-002	4.144256e+000	3.457107e+000	3.457107e-003
4.270612499967717e-002	3.854646e+000	3.169695e+000	3.169695e-003
4.294329017824861e-002	3.607549e+000	2.924709e+000	2.924709e-003
4.318045535682004e-002	3.375839e+000	2.695119e+000	2.695119e-003
4.341762053539147e-002	3.159518e+000	2.480925e+000	2.480925e-003
4.365478571396290e-002	2.958584e+000	2.282127e+000	2.282127e-003
4.389195089253433e-002	2.773038e+000	2.098726e+000	2.098726e-003
